misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
4796,2,6227,1518,4709,"1,506.38",TRUE,,,4796,6227,1518,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
14845,2,10654,1520,9134,"1,506.38",TRUE,,,14845,10654,1520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
17251,2,21023,1520,19504,"1,506.38",TRUE,,,17251,21023,1520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
59030,2,20673,1522,19153,"1,506.38",TRUE,,,59030,20673,1522,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
63701,2,25792,1530,24264,"1,506.38",TRUE,,,63701,25792,1530,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
19620,2,15847,1531,14315,"1,506.38",TRUE,,,19620,15847,1531,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
9076,2,7882,1535,6346,"1,506.38",TRUE,,,9076,7882,1535,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
2808,2,10121,1535,8586,"1,506.38",TRUE,,,2808,10121,1535,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
57018,2,14061,1539,12521,"1,506.38",TRUE,,,57018,14061,1539,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
76059,2,7213,1540,5673,"1,506.38",TRUE,,,76059,7213,1540,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"12,763.22","12,763.22"
