Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
Active: 18-29:2.0F,False,1782.5091476999999,12000.2664177,1902.8,1902.8,4745.0,5410.0,249.3693504309439,1268.53,0.0,0,0,5
"Active: 0-4:2.0M+1.0F, 18-29:1.0M+1.0F",False,8891.08500494,17219.441719100003,3805.59,3805.59,5603.0,4259.0,147.23078418852268,4994.84,0.0,0,0,5
Active: 50+:2.0M+1.0F,False,3296.4598413000003,14927.3468264,3092.05,3092.05,3405.8,1927.0,110.14698986109539,2457.78,0.0,0,0,5
"Active: 18-29:1.0M, 30-49:1.0F, 50+:1.0M",False,2701.35457906,15872.2927358,3171.33,3171.33,4126.6,2874.0,130.12206235238844,2061.36,0.0,0,0,5
"Active: 30-49:1.0M+1.0F, 50+:1.0M+1.0F",False,3574.7850876999996,21272.9030671,4043.44,4043.44,3887.8,4135.0,96.15080228716141,2854.2,0.0,0,0,5
"Active: 10-14:1.0F, 15-17:1.0F, 18-29:1.0M, 30-49:1.0M+1.0F",False,6585.787949559999,23527.4848291,5074.13,5074.13,5077.6,4689.0,100.06838610756917,4122.73,0.0,0,0,5
"Active: 0-4:2.0M+1.0F, 30-49:1.0M+1.0F",False,4979.396658379999,19166.4202247,3726.31,3726.31,5881.8,5904.0,157.84516049389345,3329.89,0.0,0,0,5
"Active: 5-9:1.0M, 10-14:1.0M, 15-17:1.0F, 30-49:1.0M+1.0F",False,-505.1634426999999,23868.639564800003,4836.28,4836.28,3515.4,3489.0,72.68809911750354,634.27,0.0,0,0,5
"Active: 5-9:1.0F, 10-14:1.0F, 15-17:1.0F, 30-49:1.0M+1.0F",False,5368.194449299999,22331.3381342,4598.43,4598.43,5395.4,5916.0,117.3313500477337,3567.74,0.0,0,0,5
"Active: 0-4:1.0F, 5-9:1.0M, 10-14:1.0F, 30-49:1.0M+1.0F",False,-678.8384771999999,22195.7400077,4281.29,4281.29,3577.4,2827.0,83.55892733264973,634.27,0.0,0,0,5
"Active: 15-17:1.0F, 50+:1.0F",False,6051.539894,11920.2685038,1823.51,1823.51,4962.75,3493.5,272.1537035716832,3567.74,0.0,0,0,4
"Active: 10-14:1.0M, 30-49:1.0F",False,3835.4982628000007,11862.9984055,1902.8,1902.8,3336.25,3459.0,175.3337187302922,2457.78,0.0,0,0,4
"Active: 0-4:2.0M, 18-29:1.0M+1.0F",False,5311.50324224,14613.8447266,3250.61,3250.61,4401.5,4799.5,135.40535468727407,3012.76,0.0,0,0,4
"Active: 18-29:1.0F, 30-49:1.0M, 50+:1.0F",False,3681.1242426000003,16457.8155621,3012.76,3012.76,4783.75,5231.0,158.7829764070155,2457.78,0.0,0,0,4
"Active: 15-17:1.0F, 30-49:1.0M+1.0F",False,4313.631237099999,17120.349436999997,3012.76,3012.76,8624.5,6786.0,286.26574967803606,2854.2,0.0,0,0,4
"Active: 0-4:1.0F, 5-9:2.0M, 10-14:1.0F, 30-49:1.0M+1.0F",False,4461.809721899999,25883.133174299997,5074.13,5074.13,2990.5,3171.0,58.93621172496566,3329.89,0.0,0,0,4
"Active: 18-29:1.0M, 30-49:1.0M+1.0F",False,1852.1159262600002,16512.753016299997,3250.61,3250.61,5076.75,4829.0,156.17837882735856,1506.38,0.0,0,0,4
"Active: 0-4:1.0F, 5-9:1.0M, 18-29:1.0F, 30-49:1.0M",False,6041.117402600001,18043.708402099997,3488.46,3488.46,5205.0,4792.0,149.20624000275194,3647.03,0.0,0,0,4
"Active: 0-4:2.0F, 5-9:1.0F, 30-49:1.0M+1.0F",False,4463.8059514,20527.8003064,3884.88,3884.88,3423.75,3761.5,88.13013529375424,3250.61,0.0,0,0,4
"Active: 10-14:1.0M, 50+:1.0F",False,347.05116539999995,10864.9997644,1902.8,1902.8,4082.0,4102.0,214.52596174059283,634.27,0.0,0,0,4
"Active: 18-29:1.0M+1.0F, 30-49:1.0F",False,1398.19763316,16762.301191,3012.76,3012.76,3012.75,2607.0,99.9996680784397,1347.81,0.0,0,0,4
"Active: 10-14:1.0M, 15-17:1.0F, 18-29:1.0F, 30-49:1.0M+1.0F",False,1359.1743108,24632.876865,4994.84,4994.84,3049.25,2606.0,61.048001537586785,1585.66,0.0,0,0,4
"Active: 18-29:1.0F, 30-49:1.0M, 50+:1.0M+1.0F",False,3585.2871410999996,20019.4375737,4122.73,4122.73,3459.0,3449.0,83.90071627295507,2616.35,0.0,0,0,4
"Active: 0-4:1.0M, 5-9:1.0M, 18-29:1.0F, 30-49:1.0M",False,4744.120394039999,17216.431157500003,3488.46,3488.46,3635.25,3746.5,104.20787396157615,2854.2,0.0,0,0,4
"Active: 0-4:1.0F, 5-9:2.0F, 30-49:1.0M+1.0F",False,1037.0812273,20234.625898899998,4043.44,4043.44,3107.75,2954.0,76.85906060186376,1427.1,0.0,0,0,4
"Active: 5-9:1.0F, 10-14:1.0F, 15-17:1.0M, 30-49:1.0M+1.0F",False,112.78968540000005,20556.264239900003,4915.56,4915.56,5000.75,4845.5,101.73306805328386,951.4,0.0,0,0,4
"Active: 0-4:1.0F, 30-49:1.0F",False,6433.4629044,11407.6984368,1427.1,1427.1,5471.5,4460.5,383.39990189895593,3884.88,0.0,0,0,4
"Active: 5-9:1.0F, 30-49:1.0F",False,3165.2981803000002,11114.5240293,1585.66,1585.66,3457.0,3546.0,218.01647263600015,2140.65,0.0,0,0,4
"Active: 15-17:1.0F, 18-29:1.0F, 50+:1.0M+1.0F",False,4081.0087451,19933.520982200003,3884.88,3884.88,4430.5,3817.0,114.04470665760589,2933.48,0.0,0,0,4
"Active: 0-4:2.0F, 5-9:2.0M, 30-49:1.0M+1.0F",False,4602.605311,25590.164054599998,4756.99,4756.99,4393.75,4225.0,92.36407896590072,3488.46,0.0,0,0,4
"Active: 10-14:1.0F, 18-29:1.0M, 30-49:1.0M+1.0F",False,1643.8820998600002,19411.3191285,4122.73,4122.73,2631.5,2658.5,63.82906472167714,1506.38,0.0,0,0,4
"Active: 0-4:1.0M, 5-9:1.0M, 10-14:1.0F, 30-49:1.0M+1.0F",False,1512.6045142400003,21368.462763100004,4281.29,4281.29,3353.0,3259.0,78.31751644948135,1585.66,0.0,0,0,4
"Active: 0-4:1.0M, 5-9:2.0F, 30-49:1.0M+1.0F",False,3704.2442187399997,19407.3486543,4043.44,4043.44,5680.75,5329.0,140.49299606275844,2616.35,0.0,0,0,4
"Active: 18-29:2.0F, 30-49:1.0F, 50+:1.0M",False,8046.9159454,21266.9843895,3884.88,3884.88,5650.0,4857.0,145.43563765161343,4994.84,0.0,0,0,4
"Active: 0-4:1.0F, 5-9:1.0F, 18-29:1.0F, 30-49:1.0M",False,5651.7262421,16668.7378205,3409.18,3409.18,6549.0,6612.5,192.09897981332756,3409.18,0.0,0,0,4
"Active: 10-14:2.0M, 30-49:1.0M+1.0F",False,1969.2396296000002,19125.977658800002,4122.73,4122.73,3998.5,4167.5,96.98670541122026,1664.95,0.0,0,0,4
"Active: 5-9:1.0M, 10-14:1.0F, 15-17:1.0F, 30-49:1.0M+1.0F",False,-109.3543901999999,23706.308715799998,4677.71,4677.71,2739.75,1984.5,58.57032607835886,872.12,0.0,0,0,4
"Active: 5-9:1.0F, 10-14:1.0M, 15-17:1.0M, 30-49:1.0M+1.0F",False,1302.6406329000004,20718.5950889,5074.13,5074.13,4002.0,3939.5,78.87066354232154,1506.38,0.0,0,0,4
"Active: 10-14:1.0M, 18-29:1.0M, 30-49:1.0F, 50+:1.0M",False,5268.65170016,18933.189697,4202.01,4202.01,5479.25,4463.5,130.39592956704053,3409.18,0.0,0,0,4
"Active: 0-4:1.0F, 5-9:1.0M, 10-14:1.0M, 30-49:1.0M+1.0F",False,1145.2724703000004,22358.070856700004,4439.86,4439.86,4144.5,4132.5,93.34753798543198,1506.38,0.0,0,0,4
"Active: 5-9:1.0M, 10-14:2.0F, 30-49:1.0M+1.0F",False,766.0259337,22488.709127399998,4598.43,4598.43,4126.5,4538.0,89.73714941838847,1268.53,0.0,0,0,4
"Active: 10-14:1.0F, 18-29:1.0F, 30-49:1.0F, 50+:1.0M",False,3053.5961664000006,19713.920034900002,3805.59,3805.59,4327.25,4406.0,113.70772994463407,2457.78,0.0,0,0,4
"Active: 10-14:1.0F, 15-17:1.0M, 30-49:1.0F, 50+:1.0M",False,4139.0712996,17603.3813744,4122.73,4122.73,3677.25,3497.5,89.19453857031627,3012.76,0.0,0,0,4
Active: 18-29:3.0F,False,1969.1751003000002,16451.896884499998,2854.1999999999994,2854.2,4952.666666666667,5012.0,173.52206105622125,1506.38,0.0,0,0,3
"Active: 30-49:2.0M, 50+:1.0F",False,4135.0425357,16208.267387400001,3250.61,3250.61,3940.3333333333335,4021.0,121.21827390346223,2616.35,0.0,0,0,3
"Active: 30-49:2.0M, 50+:1.0M+1.0F",False,1502.1254342000002,19769.889399,4360.58,4360.58,2959.0,1955.0,67.85794550266249,1506.38,0.0,0,0,3
"Active: 0-4:3.0F, 18-29:1.0M+1.0F",False,4349.599022060001,18873.9962083,3805.59,3805.59,5659.0,4594.0,148.70230371637513,3012.76,0.0,0,0,3
