misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
37101,2891,872.12,"1,585.66","2,229.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
87163,2901,872.12,"1,585.66","2,277.00",0,0,0,0,0,0,0,0,0,0,0,1,0,0
56564,2905,951.40,"3,488.46","3,154.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
69591,2918,951.40,"3,488.46","5,950.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
59600,2965,872.12,"3,488.46","1,444.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
37028,2966,"4,360.58","3,488.46","3,573.00",0,0,0,0,0,0,2,0,0,1,0,0,0,1
44800,2973,872.12,"1,664.95","3,772.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
79103,2988,"3,250.61","1,664.95","3,156.00",0,0,0,0,0,0,0,0,0,0,2,0,0,1
11452,2993,"1,109.96","1,664.95","3,553.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
64691,2994,"1,982.08","3,012.76","3,084.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
68957,3017,"2,854.20","3,012.76","1,947.00",0,0,0,0,0,0,0,0,0,3,0,0,0,0
19331,3021,"1,189.25","3,012.76","3,454.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
19141,3033,"1,189.25","3,012.76","6,575.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
3483,3042,872.12,"3,488.46","1,942.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
73320,3054,872.12,"3,488.46",595.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87601,3061,"1,109.96","3,488.46","7,962.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
11346,3082,"1,982.08","3,488.46","3,896.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
25197,3083,"1,109.96","3,488.46",193.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64618,3086,"1,268.53","1,744.23","4,399.00",0,0,0,0,0,0,1,0,0,0,0,0,0,0
1909,3096,872.12,"1,744.23","3,310.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
50211,3101,872.12,"1,506.38","3,144.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,3103,"1,109.96","1,506.38","3,989.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
17913,3103,"1,109.96","4,994.84","5,546.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
72496,3107,"1,982.08","4,994.84","5,699.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
13979,3121,"2,695.63","4,994.84","1,570.00",1,0,0,0,0,0,0,0,1,1,0,0,0,0
34694,3128,"1,823.51","4,994.84","10,717.00",0,0,0,0,0,0,0,1,0,0,0,0,0,1
82040,3132,"1,189.25","4,994.84","1,509.00",0,0,0,0,0,0,0,0,0,0,1,0,0,0
30684,3140,"1,109.96","4,994.84","2,413.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
711,3144,"1,189.25","4,994.84","5,228.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
13367,3165,"2,140.65","4,043.44","4,799.00",0,0,0,0,0,0,0,0,1,1,0,0,0,0
90134,3165,872.12,"4,043.44","2,657.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
17954,3168,872.12,"4,043.44","1,617.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
