misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
679,3503,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59279,3505,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71795,3505,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57620,3510,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52399,3514,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65243,3522,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
8417,3531,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42606,3559,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
23671,3566,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
77685,3573,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50096,3575,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6395,3595,"2,378.50",0,1,0,0,0,0,0,1,0,0,0,1,0,0
88302,3595,"1,823.51",0,0,0,0,0,0,0,0,0,1,0,0,0,1
77214,3597,"3,250.61",0,0,0,0,0,0,1,0,0,0,0,0,1,1
73064,3599,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
42861,3600,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85175,3603,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
13128,3606,"1,506.38",0,1,0,0,0,0,0,0,0,1,0,0,0,0
67199,3606,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
71753,3609,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
77602,3611,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13144,3615,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
48397,3629,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
79913,3631,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
73007,3633,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35766,3637,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
29363,3639,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
47589,3657,"3,488.46",0,1,1,0,0,0,0,0,0,1,1,0,0,0
25221,3663,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
79616,3663,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
42648,3664,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83568,3664,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
18317,3668,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90118,3673,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46755,3686,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
45336,3696,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76000,3696,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56853,3697,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33753,3699,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73866,3700,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
45393,3706,"2,140.65",0,0,0,0,0,0,0,0,1,1,0,0,0,0
42812,3718,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71910,3722,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
68817,3724,"2,774.91",0,0,0,1,0,0,0,0,0,0,1,1,0,0
28787,3730,"3,250.61",1,1,0,0,0,0,0,0,1,1,0,0,0,0
54353,3740,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
539,3745,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47225,3756,"3,884.88",0,0,0,0,0,1,0,1,0,0,1,0,0,1
11460,3774,"3,409.18",0,1,1,0,0,0,0,0,0,0,1,1,0,0
39552,3777,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12039,3789,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
78204,3792,872.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87189,3795,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
89706,3803,"8,086.89",0,0,0,1,2,0,1,0,0,0,1,1,1,1
36871,3805,"2,537.06",0,0,1,0,0,1,0,0,0,0,0,1,0,0
17053,3807,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
73924,3812,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
40444,3820,"2,378.50",0,0,0,0,0,0,0,0,2,0,0,0,0,0
55442,3829,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
11189,3832,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45427,3837,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
58826,3853,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
66902,3863,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10710,3866,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
82735,3871,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31161,3872,"2,061.36",0,0,0,0,0,0,0,0,0,0,1,0,0,1
67405,3873,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
64279,3878,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37598,3882,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35881,3886,"2,378.50",0,0,0,0,0,0,0,0,2,0,0,0,0,0
87361,3896,"2,140.65",0,0,0,0,0,0,0,0,1,1,0,0,0,0
36509,3900,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29611,3902,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54452,3904,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32425,3909,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46276,3923,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
5736,3925,"2,854.20",0,0,0,0,0,0,0,0,0,0,0,0,1,2
85019,3926,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,3937,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
23457,3946,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
